"","V1","V2","blastp"
"1","Sinv_RNA-XM_011171196.1_R9","gene_9993","uncharacterized protein LOC113006095, partial [Solenopsis invicta]"
"2","Aech_RNA11801_R2","gene_9992","PREDICTED: uncharacterized protein LOC105147755 [Acromyrmex echinatior]"
"3","Sinv_RNA-XM_011172324.2_R3","gene_9994","putative nuclease HARBI1 [Temnothorax curvispinosus]"
"6","Sinv_RNA-XM_026140765.1_R7","gene_9995","hypothetical protein ALC60_02918 [Trachymyrmex zeteki]"
"7","Aech_RNA6583_R0","gene_10037","PREDICTED: uncharacterized protein LOC105144612 [Acromyrmex echinatior]"
"8","Sinv_RNA-XM_026138987.1_R0","gene_9997","PREDICTED: nuclear factor 1 B-type isoform X5 [Cyphomyrmex costatus]"
"9","Sinv_RNA-XM_026138988.1_R0","gene_9997","PREDICTED: nuclear factor 1 B-type isoform X5 [Cyphomyrmex costatus]"
"10","Sinv_RNA-XM_026140820.1_R0","gene_10038","histone-lysine N-methyltransferase SETMAR-like [Megalopta genalis]"
"11","Aech_RNA18219_R7","gene_10039","putative DD34D transposase [Bactrocera tryoni]"
"12","Mpha_ver3_rna-XM_028192462.2_R1","gene_10040","Mariner Mos1 transposase [Acromyrmex echinatior]"
"13","Aech_RNA6297_R8","gene_10041","PREDICTED: uncharacterized protein LOC105144436 [Acromyrmex echinatior]"
"14","Mpha_ver3_rna-XM_036289449.1_R2","gene_9996","PREDICTED: trichohyalin-like [Trachymyrmex septentrionalis]"
"16","Mpha_ver3_rna-XM_036282556.1_R4","gene_9998","hypothetical protein ALC57_09947 [Trachymyrmex cornetzi]"
"17","Mpha_ver3_rna-XM_036283010.1_R3","gene_10042","hypothetical protein ALC57_16454 [Trachymyrmex cornetzi]"
"18","Mpha_ver3_rna-XM_036292571.1_R6","gene_10043","Histone-lysine N-methyltransferase SETMAR, partial [Acromyrmex echinatior]"
"19","Sinv_RNA-XM_026142194.1_R5","gene_10044","hypothetical protein ALC57_01074 [Trachymyrmex cornetzi]"
"24","Mpha_ver3_rna-XM_036288512.1_R5","gene_10045","putative DNA polymerase [Trachymyrmex zeteki]"
"25","Aech_RNA13261_R0","gene_10046","PREDICTED: UPF0329 protein ECU05_1680/ECU11_0050-like [Acromyrmex echinatior]"
"26","Aech_RNA7267_R5","gene_10047","FLJ37770-like protein, partial [Acromyrmex echinatior]"
"27","Aech_RNA3989_R3","gene_10048","PREDICTED: uncharacterized protein LOC105143043 [Acromyrmex echinatior]"
"28","Aech_RNA5128_R5","gene_9999","PREDICTED: putative uncharacterized protein FLJ37770 [Acromyrmex echinatior]"
"30","Sinv_RNA-XM_026141948.1_R1","gene_10049","PREDICTED: putative uncharacterized protein FLJ37770 [Trachymyrmex zeteki]"
"35","Aech_RNA7304_R0","gene_10050","PREDICTED: uncharacterized protein LOC105145014 [Acromyrmex echinatior]"
"36","Sinv_RNA-XM_026139716.1_R6","gene_10000",NA
"37","Aech_RNA627_R4","gene_10001","PREDICTED: histone-lysine N-methyltransferase SETMAR-like [Acromyrmex echinatior]"
"38","Sinv_RNA-XM_011171536.1_R9","gene_10003","PREDICTED: uncharacterized protein LOC108766304 [Trachymyrmex cornetzi]"
"39","Aech_RNA2361_R5","gene_10002","PREDICTED: uncharacterized protein LOC108723943 [Trachymyrmex zeteki]"
"49","Sinv_RNA-XM_026139152.1_R0","gene_10004","uncharacterized protein LOC112458106 [Temnothorax curvispinosus]"
"50","Sinv_RNA-XM_011168190.1_R2","gene_10051","histone-lysine N-methyltransferase SETMAR-like [Solenopsis invicta]"
"51","Mpha_ver3_rna-XM_012682661.3_R0","gene_10052","Krueppel-like proteinous protein 1 [Acromyrmex echinatior]"
"53","Aech_RNA3588_R6","gene_10053","PREDICTED: uncharacterized protein LOC105155026 [Acromyrmex echinatior]"
"54","Sinv_RNA-XM_026141819.1_R0","gene_10055","hypothetical protein ALC60_08468 [Trachymyrmex zeteki]"
"55","Aech_RNA3262_R3","gene_10057","PREDICTED: uncharacterized protein LOC105154798 isoform X1 [Acromyrmex echinatior]"
"56","Sinv_RNA-XM_011170578.1_R3","gene_10056","PREDICTED: uncharacterized protein LOC105143790 [Acromyrmex echinatior]"
"63","Mpha_ver3_rna-XM_036291444.1_R4","gene_10054","reverse ribonuclease integrase, partial [Lasius niger]"
